20 1 1 L 2.9423e-33  RL 6.40311e-44 7.31688e-28 3.31931e-32 LL 8.61712e-23        0        0  misfit  20.4084 Rm  32.3061  12.7505  17.1588 Lm  10.3249        0        0		   1.578    2.278  3.17265   3.3936  5.55213  5.74216 0.916434  3.95151   22.326  3.44939  3.45325  6.03644  6.03981 0.998392  3.95151   22.326  3.45979  3.64455  6.05462  6.21417 0.933312  3.95151   22.326  3.61786  3.98442  6.33126  6.64408 0.887039  3.95151   22.326    4.236  4.52442    7.413    7.413        1 -0.0671036 0.0429492    4.186  4.47101    7.326    7.326        1 -0.0671036 0.0429492    4.183  4.46781     7.32     7.32        1 -0.0671036 0.0429492    4.279  4.57035    7.488    7.488        1 -0.0671036 0.0429492     4.49  4.79571    7.858    7.858        1 -0.0671036 0.0429492 
20 1 2 L 3.76908e-32  RL 8.44885e-42 4.12825e-29 3.9279e-31 LL 3.55559e-24        0        0  misfit  19.3895 Rm  29.2121  13.9508  16.0088 Lm  11.6612        0        0		   1.578    2.278  3.24087  3.34217  5.67153  5.75948 0.958679  4.03847  29.5702  3.39521  3.48177  5.94162  6.01688 0.965773  4.03847  29.5702  3.49245  3.69639  6.11179  6.28767  0.92798  4.03847  29.5702  3.70364   3.9622  6.48136  6.70372 0.916263  4.03847  29.5702    4.236  4.46985    7.413    7.413        1 -0.0746927 0.0611906    4.186  4.41709    7.326    7.326        1 -0.0746927 0.0611906    4.183  4.41392     7.32     7.32        1 -0.0746927 0.0611906    4.279  4.51522    7.488    7.488        1 -0.0746927 0.0611906     4.49  4.73787    7.858    7.858        1 -0.0746927 0.0611906 
20 1 3 L 1.32294e-32  RL 3.2549e-41 1.68249e-28 6.44206e-35 LL 8.2123e-27        0        0  misfit   20.303 Rm  28.3849  13.3575  20.2427 Lm  14.4308        0        0		   1.578    2.278  3.26017  3.30074  5.70529  5.74068 0.982686 0.640907  31.9052  3.40584  3.45676  5.96022  6.00461 0.979343 0.640907  31.9052  3.49206  3.74386   6.1111  6.32752 0.913986 0.640907  31.9052  3.74753  3.92764  6.55818  6.71391  0.93917 0.640907  31.9052    4.236  4.43099    7.413    7.413        1 -0.0703883 0.0534197    4.186  4.37869    7.326    7.326        1 -0.0703883 0.0534197    4.183  4.37555     7.32     7.32        1 -0.0703883 0.0534197    4.279  4.47597    7.488    7.488        1 -0.0703883 0.0534197     4.49  4.69668    7.858    7.858        1 -0.0703883 0.0534197 
20 1 4 L 6.82772e-33  RL 4.34436e-41 5.53085e-29 1.34137e-35 LL 3.36248e-28        0        0  misfit  20.7621 Rm  28.2093  13.8262  21.0577 Lm  16.0072        0        0		   1.578    2.278  3.26325  3.29692  5.71069  5.74007 0.985561  9.45802  34.4482   3.3733  3.43585  5.90328  5.95776 0.974633  9.45802  34.4482  3.59166  3.70071   6.2854   6.3801 0.959764  9.45802  34.4482  3.62658  3.94056  6.34652  6.61543 0.900182  9.45802  34.4482    4.236  4.48839    7.413    7.413        1 -0.0777241 0.0531087    4.186  4.43541    7.326    7.326        1 -0.0777241 0.0531087    4.183  4.43224     7.32     7.32        1 -0.0777241 0.0531087    4.279  4.53396    7.488    7.488        1 -0.0777241 0.0531087     4.49  4.75753    7.858    7.858        1 -0.0777241 0.0531087 
20 1 5 L 5.63301e-32  RL 1.55187e-41 1.66244e-27 4.16593e-29 LL 9.26235e-27        0        0  misfit  18.6494 Rm  28.8377  12.4177   13.947 Lm  14.3731        0        0		   1.578    2.278  3.19516  3.31513  5.59152  5.69552 0.951175  9.49401  33.5719  3.41258  3.45079  5.97202  6.00535 0.984371  9.49401  33.5719  3.57885  3.72745  6.26299  6.39168  0.94656  9.49401  33.5719   3.6157  3.88633  6.32747  6.55992 0.911297  9.49401  33.5719    4.236   4.4952    7.413    7.413        1 -0.0634328 0.0449217    4.186  4.44214    7.326    7.326        1 -0.0634328 0.0449217    4.183  4.43896     7.32     7.32        1 -0.0634328 0.0449217    4.279  4.54084    7.488    7.488        1 -0.0634328 0.0449217     4.49  4.76475    7.858    7.858        1 -0.0634328 0.0449217 
20 1 6 L 2.55632e-31  RL 6.66592e-38 5.70125e-29 3.33079e-37 LL 1.02146e-25        0        0  misfit  19.3846 Rm  23.9317  13.8134  23.0407 Lm   13.245        0        0		   1.578    2.278  3.29617  3.29653  5.76829  5.76861 0.999841  12.4982  37.0673  3.46433   3.4795  6.06257  6.07584 0.993766  12.4982  37.0673  3.53137  3.77247   6.1799  6.38732 0.917806  12.4982  37.0673   3.6231  3.94603  6.34042  6.61682 0.897841  12.4982  37.0673    4.236  4.46888    7.413    7.413        1 -0.0737879 0.0566712    4.186  4.41613    7.326    7.326        1 -0.0737879 0.0566712    4.183  4.41297     7.32     7.32        1 -0.0737879 0.0566712    4.279  4.51424    7.488    7.488        1 -0.0737879 0.0566712     4.49  4.73684    7.858    7.858        1 -0.0737879 0.0566712 
20 1 7 L 2.02275e-29  RL 8.04249e-38 1.25438e-29 2.16394e-30 LL 1.1756e-17        0        0  misfit  16.8517 Rm  23.8269   14.464   15.238 Lm  6.07844        0        0		   1.578    2.278   3.3309  3.36642  5.82908  5.86008  0.98509  8.96202  43.5247  3.46294  3.50654  6.06014  6.09817 0.982491  8.96202  43.5247  3.50349  3.85489   6.1311  6.43106 0.887919  8.96202  43.5247  3.59113  4.05251  6.28448  6.67562 0.864974  8.96202  43.5247    4.236  4.52324    7.413    7.413        1 -0.0720521 0.073045    4.186  4.46985    7.326    7.326        1 -0.0720521 0.073045    4.183  4.46665     7.32     7.32        1 -0.0720521 0.073045    4.279  4.56916    7.488    7.488        1 -0.0720521 0.073045     4.49  4.79446    7.858    7.858        1 -0.0720521 0.073045 
20 1 8 L 6.9895e-29  RL 3.38926e-36 5.44879e-30 3.38063e-32 LL 3.33005e-17        0        0  misfit  16.6264 Rm  21.7854  14.8287  17.1501 Lm  5.75807        0        0		   1.578    2.278  3.28255  3.33663  5.74446  5.79159 0.977333   8.4233  55.9063  3.49424  3.56374  6.11492  6.17543 0.972891   8.4233  55.9063  3.53799  3.85289  6.19148  6.46103 0.897954   8.4233  55.9063  3.64327  4.03128  6.37572  6.70642 0.882624   8.4233  55.9063    4.236  4.60366    7.413    7.413        1 -0.079148 0.0723645    4.186  4.54932    7.326    7.326        1 -0.079148 0.0723645    4.183  4.54606     7.32     7.32        1 -0.079148 0.0723645    4.279  4.65039    7.488    7.488        1 -0.079148 0.0723645     4.49  4.87971    7.858    7.858        1 -0.079148 0.0723645 
20 1 9 L 4.94585e-27  RL 1.70151e-32 3.21601e-28 2.7267e-32 LL 3.91557e-19        0        0  misfit   14.725 Rm  17.4766  13.0882   17.252 Lm  7.18567        0        0		   1.578    2.278  3.26928  3.36139  5.72123  5.80127 0.962446  14.9024  58.9094  3.49471  3.50129  6.11573   6.1215 0.997298  14.9024  58.9094  3.62483  3.82597  6.34345  6.51705 0.931066  14.9024  58.9094  3.64147  4.01828  6.37258  6.69397 0.885188  14.9024  58.9094    4.236  4.58624    7.413    7.413        1 -0.0674408 0.0566783    4.186  4.53211    7.326    7.326        1 -0.0674408 0.0566783    4.183  4.52886     7.32     7.32        1 -0.0674408 0.0566783    4.279   4.6328    7.488    7.488        1 -0.0674408 0.0566783     4.49  4.86124    7.858    7.858        1 -0.0674408 0.0566783 
20 1 10 L 5.56232e-26  RL 1.70041e-32 3.24075e-25 1.03253e-30 LL 3.17812e-13        0        0  misfit   13.338 Rm  17.4769  10.3849  15.5699 Lm  3.31254        0        0		   1.578    2.278  3.25319  3.44265  5.69309  5.85648 0.928145  17.4352  58.1274  3.48905  3.51486  6.10584  6.12838 0.989564  17.4352  58.1274  3.57754  3.82853  6.26069  6.47652 0.915918  17.4352  58.1274  3.71386  3.94949  6.49925  6.70221 0.922715  17.4352  58.1274    4.236  4.57512    7.413    7.413        1 -0.0399346 0.0444392    4.186  4.52111    7.326    7.326        1 -0.0399346 0.0444392    4.183  4.51787     7.32     7.32        1 -0.0399346 0.0444392    4.279  4.62156    7.488    7.488        1 -0.0399346 0.0444392     4.49  4.84945    7.858    7.858        1 -0.0399346 0.0444392 
